id,user_name,completed,nickname,created
1,Radwayne,0,first_time1212,2024-01-01 16:45:49.335735
2,User,0,resuer,2024-01-01 17:07:19.855576
3,Shhhh,0,jjasdferg,2024-01-01 17:11:08.367378
4,new,0,123,2024-01-01 17:14:15.907552
5,Olololo,0,12786548,2024-01-01 17:39:00.192083
6,Ol,0,12786548,2024-01-01 17:39:21.495895
7,a,0,12786548,2024-01-01 17:39:43.738305
8,rty,0,--op,2024-01-01 17:43:01.162513
9,example,0,909090,2024-01-01 17:51:35.556540
10,asdfg,0,6576,2024-01-01 17:52:23.678484
11,fyfjf,0,fjj,2024-01-01 18:26:19.244732
12,Raduan,0,iamarivaltomyself,2024-01-01 18:30:04.202002
